Classification_Size,Classification_Focus,Research_Intensity,Status,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_Per_Faculty_Score,International_Faculty_Score,International_Student_Score,Overall_Score
L,FC,VH,A,23.6,22.8,49.9,50.7,88.0,91.2,40.9
L,FC,VH,B,35.1,38.7,69.7,27.3,21.5,46.4,40.8
L,FC,HI,A,29.0,12.6,29.7,60.4,96.9,98.0,40.7
L,CO,VH,A,30.1,35.6,85.3,17.1,27.8,58.8,40.5
XL,FC,VH,A,33.4,39.6,35.6,42.2,85.7,61.6,40.4
L,FC,VH,A,34.3,33.5,9.3,95.9,35.3,6.7,40.3
XL,FC,VH,A,24.9,25.1,71.3,25.3,99.1,63.9,40.0
M,CO,VH,A,35.6,35.5,16.4,52.7,99.5,66.9,40.0
L,FC,VH,A,38.6,22.3,44.1,52.7,41.9,14.9,40.0
L,FC,VH,A,37.8,39.3,44.2,45.2,17.0,29.4,39.4
L,FC,VH,A,35.3,31.3,95.2,4.8,6.0,31.8,39.2
M,CO,VH,A,19.3,16.1,29.2,69.9,98.1,97.9,39.1
M,FC,VH,B,21.1,59.6,67.3,14.3,96.2,67.8,39.0
M,FC,VH,B,19.8,14.2,79.7,48.4,37.6,41.4,39.0
L,FC,VH,A,33.7,65.0,10.4,58.5,76.2,23.7,38.9
L,FC,VH,A,31.3,61.1,14.4,43.0,81.6,91.7,38.9
L,CO,VH,A,29.0,16.5,81.9,23.4,45.6,43.8,38.9
M,FC,VH,B,33.0,81.7,45.0,21.5,20.9,60.1,38.8
L,FC,VH,B,21.1,16.9,76.6,54.1,7.9,41.2,38.8
M,CO,VH,A,28.6,34.7,90.5,13.7,6.0,51.2,38.7
XL,CO,VH,A,39.9,52.7,12.3,39.3,98.5,42.3,38.7
XL,FC,VH,A,40.1,22.5,20.0,72.2,14.7,18.2,38.5
L,FC,VH,A,31.5,31.6,24.4,70.6,61.5,9.9,38.4
L,CO,VH,A,23.7,29.4,28.8,52.0,95.9,97.2,38.3
XL,FC,VH,A,52.2,35.9,14.0,50.0,9.5,6.4,38.2
L,CO,VH,A,30.0,44.1,24.7,42.8,100.0,59.2,38.0
L,FC,VH,A,30.2,42.6,19.6,41.7,94.7,91.5,38.0
XL,CO,VH,A,33.9,65.2,14.1,27.4,100.0,89.8,38.0
L,FO,VH,A,20.5,79.1,7.5,73.6,50.4,59.5,37.9
L,FO,VH,A,34.4,59.4,68.0,9.2,38.7,14.9,37.9
XL,FC,VH,A,46.6,22.2,45.0,24.0,30.5,27.6,37.7
XL,FC,VH,A,25.1,27.6,81.5,15.2,96.2,11.8,37.6
M,FO,VH,A,23.4,23.5,76.3,39.8,17.2,31.7,37.5
XL,FC,VH,A,37.4,54.5,25.5,42.1,56.2,12.5,37.5
L,CO,VH,A,44.8,16.1,19.2,59.8,21.0,15.7,37.3
L,FC,HI,A,20.5,26.2,76.2,17.3,90.8,59.1,37.1
L,CO,VH,A,26.7,59.9,14.3,62.6,36.7,62.8,37.1
L,FC,VH,A,34.9,18.0,69.3,23.8,18.2,33.7,37.1
S,FO,VH,A,10.0,64.2,86.5,14.3,27.1,100.0,37.0
M,CO,VH,A,35.2,45.9,29.8,58.7,3.3,1.6,36.7
L,FC,VH,B,23.8,36.9,84.6,19.5,15.6,35.4,36.7
L,CO,VH,A,22.7,22.9,6.2,73.0,95.4,91.8,36.7
L,CO,VH,A,23.8,21.4,32.6,49.2,100.0,72.6,36.7
L,CO,VH,A,25.5,55.7,27.5,33.1,93.2,79.6,36.6
L,FC,HI,A,20.2,14.0,44.4,47.3,84.5,84.4,36.4
L,FC,VH,A,34.6,12.5,56.3,32.1,42.5,27.4,36.4
XL,FC,HI,A,58.6,44.9,28.1,8.7,15.7,3.3,36.3
L,FC,HI,B,51.6,78.5,22.2,7.1,30.6,3.0,36.1
M,FC,VH,A,18.4,10.6,73.2,26.7,89.1,63.6,36.1
M,CO,VH,A,18.3,19.2,16.9,71.7,97.6,80.4,36.0
XL,FC,HI,A,58.9,82.1,12.8,4.5,10.8,1.6,35.9
L,CO,VH,A,36.0,38.0,55.4,22.7,9.9,29.5,35.9
M,FC,HI,A,15.8,14.3,40.5,52.0,100.0,89.7,35.8
M,CO,VH,A,19.2,21.1,99.0,3.4,25.6,82.9,35.8
L,FC,VH,A,19.1,18.7,24.4,62.1,100.0,76.9,35.7
L,CO,VH,A,32.0,12.7,35.2,47.0,64.6,38.3,35.7
XL,FC,VH,A,48.6,42.8,25.3,20.7,18.2,36.1,35.7
L,FC,HI,A,20.0,29.5,56.8,17.3,98.1,99.2,35.7
M,CO,VH,A,32.5,36.7,17.6,75.6,2.1,1.4,35.6
XL,CO,VH,A,39.4,25.9,40.8,31.8,27.7,25.6,35.6
L,FO,VH,A,22.1,9.5,56.0,65.8,10.2,11.6,35.3
L,FC,VH,A,26.0,31.5,67.4,30.1,35.8,7.5,35.3
M,CO,VH,A,18.6,11.1,26.0,58.9,97.0,93.6,35.2
S,SP,VH,A,27.5,15.3,44.4,18.1,100.0,100.0,35.1
XL,FC,VH,A,52.2,10.3,14.6,36.7,25.4,29.8,35.0
XL,FC,VH,A,26.3,31.3,8.8,62.5,86.4,54.3,35.0
XL,FC,VH,A,29.6,14.3,25.9,52.2,91.8,27.1,34.9
L,CO,VH,A,37.8,14.8,35.3,48.3,15.6,12.8,34.8
S,FC,VH,A,14.5,12.6,99.9,34.8,7.2,7.5,34.8
XL,FC,MD,A,36.1,51.3,49.1,1.8,93.9,5.5,34.8
M,FO,VH,A,26.5,44.3,18.3,76.8,9.9,1.0,34.7
XL,FC,VH,A,35.4,44.4,41.8,30.9,19.1,9.3,34.7
L,FC,VH,A,42.2,5.0,19.1,43.9,33.9,59.4,34.7
L,CO,VH,A,32.8,31.1,21.5,45.0,73.0,26.2,34.6
L,CO,HI,A,19.7,55.2,100.0,1.2,3.4,11.7,34.5
XL,FC,VH,A,23.3,22.2,4.0,96.3,29.4,26.8,34.5
XL,FO,HI,A,55.8,53.1,5.1,3.8,24.6,75.6,34.5
M,CO,VH,A,15.1,40.8,34.7,37.4,98.5,96.8,34.4
L,CO,VH,A,19.9,28.9,56.1,41.8,58.5,19.1,34.4
L,FC,VH,A,19.8,5.4,62.9,45.5,63.6,20.7,34.4
S,CO,VH,A,15.4,10.6,93.7,27.1,21.2,35.7,34.3
M,FO,VH,A,15.4,7.8,25.1,62.0,96.9,98.6,34.2
XL,FC,VH,A,36.9,44.7,40.1,15.9,43.0,30.4,34.2
M,CO,VH,A,26.3,11.8,78.0,10.9,16.6,73.4,34.1
XL,FC,HI,A,28.1,43.6,7.9,42.0,97.2,68.7,34.0
L,CO,VH,A,24.1,25.0,83.1,14.6,6.5,32.0,33.7
M,FC,VH,B,3.3,2.9,97.5,59.3,6.8,13.3,33.7
M,FO,VH,A,14.1,29.2,99.0,8.7,28.1,40.0,33.6
L,FC,VH,A,20.1,11.0,11.1,73.2,87.7,59.1,33.4
XL,FC,VH,A,24.0,25.1,47.7,47.0,36.3,9.7,33.4
S,FO,VH,A,9.7,4.0,39.8,100.0,9.9,9.0,33.3
S,SP,VH,A,6.4,7.4,82.7,27.7,100.0,56.9,33.3
XL,FC,VH,A,38.2,36.2,43.1,11.4,19.0,47.8,33.2
S,CO,VH,A,7.8,8.7,58.5,39.7,92.2,97.6,33.2
L,FC,HI,B,20.7,18.2,85.8,15.5,10.6,43.1,33.1
M,FO,VH,A,15.1,18.4,9.3,79.6,93.5,52.9,33.1
L,FC,VH,A,24.5,11.8,84.1,17.0,12.7,16.7,32.8
M,FC,VH,A,20.4,21.6,82.7,18.9,22.4,20.0,32.8
XL,FC,VH,A,42.7,31.2,26.2,19.7,41.6,22.1,32.7
S,CO,HI,A,10.0,3.7,94.8,4.8,100.0,65.7,32.7
XL,FC,VH,A,45.2,24.8,9.8,45.1,11.5,6.2,32.5
L,CO,VH,B,18.8,22.2,29.1,39.4,78.5,97.4,32.3
L,FC,VH,A,18.5,7.1,92.7,20.8,47.8,28.2,32.3
L,FC,VH,A,36.9,25.5,17.1,52.9,6.2,9.5,32.2
XL,FC,VH,A,24.0,24.4,14.9,47.0,98.3,54.4,32.1
M,FO,VH,A,9.9,20.0,96.1,5.1,44.1,72.6,32.1
XL,FC,VH,A,34.1,33.2,45.4,20.4,28.0,10.5,32.1
M,CO,VH,A,11.9,16.8,21.0,56.9,98.9,98.5,32.0
L,CO,VH,A,27.3,28.9,18.7,24.9,98.8,89.1,32.0
M,FC,HI,A,13.9,19.3,61.9,10.5,100.0,99.5,32.0
M,CO,VH,A,7.4,9.9,76.0,44.7,45.8,31.4,32.0
L,CO,VH,A,20.1,15.1,10.9,91.3,26.2,10.7,31.9
M,CO,VH,A,17.2,5.7,87.2,21.7,43.6,7.3,31.9
L,FC,VH,A,24.1,8.1,33.9,61.8,31.1,8.8,31.7
L,FC,VH,A,18.6,7.4,81.1,24.4,31.9,15.1,31.7
M,FO,VH,A,18.5,67.4,11.5,56.3,44.5,33.3,31.7
L,FC,VH,A,25.7,25.5,28.7,30.0,95.0,46.4,31.7
XL,FC,VH,A,31.4,32.3,28.1,40.0,22.6,22.4,31.7
L,FC,VH,A,17.0,34.4,43.9,33.5,75.7,39.7,31.6
L,FO,VH,A,19.4,28.8,96.6,1.7,10.3,14.5,31.6
L,FC,VH,B,28.2,24.9,31.5,34.3,40.5,50.1,31.5
M,CO,VH,B,11.9,12.4,32.2,73.0,40.3,47.7,31.5
L,FC,VH,A,16.4,6.9,66.8,43.7,26.8,14.1,31.5
XL,FC,HI,A,47.1,9.3,11.6,23.6,41.0,46.5,31.3
L,FC,VH,A,22.1,7.2,39.8,39.6,30.5,82.4,31.2
M,FC,HI,A,17.2,22.7,57.6,11.0,100.0,62.9,31.1
L,CO,HI,A,15.4,24.8,13.4,49.2,95.3,99.8,31.0
L,FC,VH,A,26.1,31.6,66.1,15.3,10.7,8.9,30.9
S,FO,VH,A,12.5,6.0,100.0,21.6,3.5,14.4,30.9
L,FO,HI,A,16.4,30.8,95.3,1.7,9.0,24.4,30.8
M,SP,MD,A,10.1,31.9,99.6,1.0,13.1,52.1,30.7
L,CO,HI,A,20.3,13.8,19.9,35.9,99.9,99.7,30.7
L,CO,VH,A,19.1,15.0,32.2,28.8,97.7,88.4,30.7
XL,FC,VH,A,37.7,27.6,15.1,38.2,9.0,33.6,30.7
L,CO,HI,A,36.2,41.7,43.9,3.2,42.1,2.6,30.4
L,CO,VH,A,16.3,10.1,7.1,70.5,91.3,54.9,30.4
XL,FC,VH,A,53.0,18.9,22.5,10.4,7.1,3.0,30.3
M,FO,VH,B,9.7,13.2,93.6,18.7,28.5,20.0,30.2
XL,FC,VH,A,27.0,28.1,32.6,28.4,68.1,15.6,30.1
L,CO,HI,A,27.8,59.3,14.8,15.1,60.5,79.3,30.1
M,FO,VH,A,11.4,15.3,73.3,16.9,65.9,52.1,30.1
M,CO,VH,A,9.0,17.9,76.1,32.6,38.7,17.6,30.0
S,CO,MD,B,17.3,41.4,88.0,1.8,5.7,9.8,29.9
L,FC,VH,A,16.6,12.2,82.2,19.3,18.4,15.7,29.9
L,FC,HI,A,13.5,9.9,15.6,54.9,93.1,90.0,29.7
L,FC,LO,B,16.2,44.7,86.9,1.2,42.3,20.6,29.7
L,FC,HI,A,13.3,2.9,91.9,9.2,59.9,15.5,29.7
XL,FC,VH,A,22.8,21.0,5.1,68.4,38.5,33.0,29.6
M,FO,VH,A,9.2,20.1,89.1,3.3,20.5,81.7,29.4
L,FC,VH,A,16.7,7.4,23.1,60.5,69.5,33.3,29.4
M,SP,VH,A,9.9,73.5,7.7,33.4,100.0,94.6,29.3
M,FC,HI,B,16.8,43.1,25.6,14.7,100.0,100.0,29.2
L,CO,HI,B,23.4,29.4,31.6,29.1,73.1,20.7,29.2
M,FC,VH,A,16.1,14.1,61.3,34.2,33.4,9.5,29.2
L,FO,VH,A,18.2,18.2,42.4,29.7,75.9,36.2,29.2
L,FC,VH,A,35.1,23.3,49.6,8.5,15.1,5.5,29.1
L,CO,HI,A,11.1,48.5,12.1,44.3,95.5,70.9,29.0
M,FO,VH,A,13.5,21.6,16.8,89.5,49.3,2.6,29.0
L,FC,VH,A,25.1,38.1,14.4,35.9,87.1,12.7,29.0
M,CO,LO,B,8.9,27.9,91.1,1.1,7.2,71.3,28.8
L,FC,VH,A,18.2,22.8,16.8,61.4,60.6,10.0,28.8
XL,FC,MD,A,30.9,49.6,54.3,2.1,1.9,1.5,28.8
L,CO,HI,B,12.6,22.1,84.0,2.1,42.9,40.8,28.7
XL,FO,VH,A,29.4,53.3,5.7,43.3,2.7,32.2,28.7
L,CO,VH,A,12.6,23.3,17.4,42.5,98.7,87.6,28.7
M,FC,VH,B,6.5,6.8,100.0,19.6,7.9,19.7,28.7
XL,FC,MD,A,37.4,36.0,38.5,1.5,36.5,2.6,28.6
L,FC,VH,A,17.7,27.3,21.8,48.2,33.0,61.8,28.6
L,FC,VH,A,28.5,19.5,23.9,32.1,68.4,12.0,28.6
L,FO,HI,A,13.2,21.4,96.1,1.4,24.5,5.0,28.5
XL,CO,VH,A,36.8,35.0,38.4,6.9,9.1,13.4,28.5
M,FO,VH,A,21.2,8.2,23.5,25.8,84.7,95.8,28.3
L,FC,HI,B,13.3,21.0,80.3,10.4,20.4,30.6,28.2
L,CO,VH,A,18.5,27.9,8.6,32.8,98.5,95.3,28.2
S,FO,VH,A,5.8,7.3,91.9,33.2,71.5,1.1,28.2
M,CO,VH,A,23.1,10.4,43.3,23.1,60.7,31.1,28.2
L,FC,VH,A,8.3,6.8,100.0,15.8,5.4,13.0,28.2
L,FC,VH,A,21.4,19.1,32.9,29.8,70.9,29.5,28.1
M,CO,VH,A,23.4,17.9,30.6,46.9,18.4,8.6,28.1
L,FO,VH,A,9.9,14.7,87.8,2.7,17.1,69.9,28.0
L,FC,VH,A,25.6,28.9,5.1,50.4,57.9,13.2,27.9
L,FC,HI,A,27.7,31.1,30.1,22.9,26.1,35.0,27.9
L,FC,VH,A,16.8,13.4,20.3,52.7,72.6,26.5,27.7
XL,FC,VH,A,20.3,16.0,53.8,20.4,38.0,23.2,27.7
L,CO,LO,B,9.3,37.5,95.6,1.1,14.7,1.6,27.7
L,FC,VH,A,29.3,14.6,22.9,33.1,11.3,53.0,27.7
XL,FC,HI,A,30.7,27.5,52.6,6.2,4.8,10.4,27.6
M,FC,VH,B,10.6,5.6,83.6,18.6,20.7,23.1,27.5
L,FC,VH,A,22.2,15.9,69.1,12.7,4.3,6.7,27.5
L,CO,VH,A,14.7,14.7,88.5,1.9,14.3,25.7,27.5
XL,FC,VH,A,19.8,21.9,17.9,62.7,13.1,7.9,27.4
M,CO,VH,A,22.2,15.4,34.8,38.8,21.6,21.5,27.4
M,CO,VH,A,15.9,41.9,73.9,7.8,3.5,4.0,27.3
M,CO,VH,A,11.1,12.2,24.0,50.6,75.5,57.3,27.3
L,FC,VH,A,13.2,18.7,22.8,74.1,6.2,5.0,27.2
M,CO,HI,B,22.2,28.5,47.2,5.3,91.4,4.9,27.1
M,FO,MD,B,9.5,9.8,76.8,1.1,37.5,95.9,27.1
L,CO,HI,A,14.7,30.7,42.9,15.7,70.6,53.8,27.0
XL,CO,VH,A,25.9,8.7,51.6,16.0,38.2,4.5,27.0
XL,FC,VH,A,39.0,20.6,11.1,32.0,8.0,5.8,27.0
XL,CO,VH,A,22.2,27.1,11.8,50.8,13.1,43.1,27.0
M,CO,VH,B,18.0,8.0,22.6,41.5,19.2,100.0,26.9
L,CO,VH,A,24.4,14.2,16.4,50.1,37.3,9.1,26.9
L,CO,VH,A,15.9,13.4,9.1,60.4,28.8,75.7,26.9
M,CO,VH,B,12.1,20.6,31.8,41.7,20.2,82.8,26.8
M,FO,VH,B,4.1,5.1,72.5,47.0,4.9,9.5,26.8
XL,FC,VH,A,24.7,18.1,22.4,32.9,66.2,11.9,26.7
M,CO,VH,A,10.7,6.6,33.8,45.0,66.5,48.3,26.5
L,FC,HI,B,10.1,11.0,85.2,8.3,16.1,35.6,26.5
M,FO,VH,A,11.3,16.5,13.4,86.7,1.9,1.9,26.5
M,FC,HI,A,8.3,7.7,14.5,65.7,57.2,67.1,26.4
M,CO,VH,B,18.9,40.1,51.2,15.5,13.6,15.4,26.4
L,FC,HI,A,12.2,14.8,34.2,30.6,74.8,65.4,26.4
L,FC,VH,A,22.7,8.5,36.2,38.4,9.7,20.4,26.4
L,FO,VH,A,17.2,9.3,77.1,2.8,6.9,39.0,26.2
L,CO,VH,A,12.8,9.9,12.4,71.6,39.7,24.9,26.2
L,FC,VH,A,10.5,4.9,76.9,20.2,19.7,20.5,26.2
S,FO,HI,A,6.8,9.3,77.9,4.3,98.8,20.0,26.1
S,FC,HI,B,3.0,9.9,51.4,18.2,98.8,97.7,26.0
XL,CO,VH,A,17.2,6.2,26.2,62.0,10.3,5.5,26.0
M,FO,VH,A,10.9,6.2,21.2,34.6,100.0,96.7,26.0
L,FO,VH,A,19.4,41.1,8.9,59.9,4.4,4.7,25.9
L,FC,MD,A,10.1,16.1,75.7,1.3,5.6,90.3,25.9
XL,FC,MD,A,6.2,3.6,81.9,1.5,100.0,23.9,25.8
M,CO,VH,B,16.3,34.7,47.0,18.8,44.2,6.7,25.8
L,CO,VH,A,18.8,22.0,40.0,28.2,34.5,10.0,25.7
L,CO,VH,A,17.5,6.5,31.1,36.9,62.5,25.4,25.7
M,FC,HI,A,9.5,13.0,65.4,11.0,100.0,4.8,25.7
L,FC,VH,A,17.6,7.5,56.1,25.2,17.3,12.3,25.6
XL,FC,VH,A,34.7,8.0,15.3,25.0,25.6,29.3,25.6
M,FC,VH,A,11.4,5.1,19.0,76.5,13.0,13.7,25.6
M,CO,VH,B,20.5,38.8,21.4,24.8,66.4,15.8,25.5
M,SP,HI,A,21.5,63.9,34.6,4.4,25.2,26.8,25.5
M,CO,VH,A,11.0,29.0,40.2,27.3,71.5,21.5,25.5
M,FC,VH,B,4.9,2.5,96.9,17.4,3.9,4.1,25.5
S,CO,VH,A,6.3,3.5,99.6,11.0,5.2,2.6,25.4
S,CO,VH,B,5.0,2.7,36.0,54.7,17.9,79.5,25.3
L,FC,HI,A,10.4,6.9,37.1,32.9,63.7,63.9,25.3
L,FC,VH,A,10.7,10.1,32.0,34.5,75.4,56.5,25.3
L,CO,HI,A,17.5,25.4,17.5,10.6,99.6,99.9,25.2
L,FO,VH,A,21.2,7.6,32.0,44.1,6.0,8.1,25.2
L,FC,VH,A,13.0,5.6,77.3,15.5,9.3,6.3,25.2
XL,CO,VH,A,14.4,38.2,6.8,28.1,83.3,87.8,25.2
M,FO,HI,A,11.9,24.8,87.3,1.2,1.6,2.1,25.2
L,FC,VH,A,12.4,6.5,84.6,11.0,7.0,2.0,25.2
XL,SP,VH,A,28.7,51.9,21.4,11.6,3.3,32.6,25.1
L,FC,HI,A,16.8,13.0,60.1,6.6,15.6,57.4,25.1
XL,FC,HI,A,25.8,31.1,12.4,40.3,12.2,6.5,25.0
M,CO,VH,A,13.0,14.1,26.4,64.6,1.8,1.6,25.0
XL,FC,VH,A,28.9,17.4,5.8,51.8,3.1,51.8,25.0
XL,FC,VH,A,18.0,12.0,52.3,23.3,20.6,3.3,24.8
M,CO,VH,A,8.9,17.9,75.1,5.2,8.7,54.9,24.7
XL,FC,VH,A,24.0,5.6,28.8,40.4,8.4,5.0,24.7
L,FC,HI,A,13.7,10.2,13.4,39.6,74.2,74.8,24.6
M,FO,VH,A,9.5,35.6,47.7,8.1,34.7,86.1,24.6
L,CO,MD,A,8.0,8.5,92.6,1.0,21.0,12.6,24.5
S,CO,MD,A,7.4,8.6,87.7,1.1,37.4,16.8,24.4
M,CO,MD,C,6.5,31.0,58.6,3.0,50.3,75.4,24.4
L,FC,HI,A,13.4,19.7,47.1,11.3,25.9,80.9,24.4
M,CO,VH,A,15.4,7.2,42.9,35.4,26.3,10.4,24.4
L,FC,MD,A,12.5,8.2,70.7,1.8,1.5,79.4,24.4
XL,CO,VH,A,21.5,33.7,14.4,21.0,34.8,70.8,24.4
L,FC,HI,A,34.0,48.5,11.0,15.4,6.4,2.0,24.2
L,FC,HI,A,16.9,31.8,60.2,6.1,11.7,6.0,24.1
XL,CO,VH,A,20.8,11.4,18.8,39.9,32.5,21.9,24.0
XL,FO,VH,A,33.6,5.2,22.7,7.8,43.3,34.4,24.0
L,CO,VH,A,16.1,8.7,29.1,48.9,10.6,7.0,23.9
XL,FC,VH,A,28.8,15.3,38.2,12.9,6.8,5.1,23.9
L,CO,VH,B,23.2,50.2,17.7,18.9,21.1,24.1,23.9
L,FC,VH,A,15.6,11.3,10.4,67.3,9.9,6.2,23.8
XL,FC,VH,A,34.9,14.0,12.8,21.4,5.1,23.7,23.7
M,FO,VH,A,8.2,11.2,7.8,74.4,24.3,31.5,23.7
L,FC,VH,A,10.7,13.0,61.0,17.6,37.1,10.6,23.7
M,FO,VH,A,4.9,9.8,8.6,92.7,4.2,2.5,23.6
XL,FC,HI,A,15.9,26.4,9.9,25.9,100.0,47.8,23.6
M,SP,HI,A,12.7,29.0,13.8,21.2,100.0,69.4,23.5
L,CO,VH,A,9.5,26.9,66.4,10.3,64.1,33.1,23.5
M,FC,MD,B,7.7,26.9,68.1,2.3,62.2,10.2,23.5
L,CO,VH,A,18.2,6.0,18.9,56.3,5.0,4.6,23.5
L,FC,VH,B,34.3,42.8,43.0,27.9,41.9,48.4,23.4
L,CO,VH,A,56.3,11.9,36.2,27.2,49.9,44.7,23.4
M,FC,HI,B,21.6,36.9,88.6,65.5,42.4,47.6,23.4
M,CO,VH,B,15.9,29.2,37.9,45.2,71.8,47.0,23.4
M,CO,HI,A,42.8,35.8,99.4,70.4,26.6,14.9,23.3
L,FC,VH,A,19.8,30.7,42.2,21.1,15.3,33.8,23.2
S,FO,VH,B,10.8,23.6,38.6,21.1,39.5,17.1,23.2
XL,CO,MD,A,27.4,36.4,41.5,51.4,12.4,14.2,23.1
XL,FC,VH,A,32.7,5.4,62.2,30.0,44.3,21.0,23.1
L,FC,VH,B,11.6,36.2,71.9,30.6,36.0,13.3,23.1
M,FO,VH,A,24.3,29.0,74.2,57.7,17.2,36.9,23.0
M,FC,VH,A,12.8,6.5,82.5,36.2,14.4,54.4,23.0
L,FC,HI,A,35.8,48.2,74.9,73.9,64.4,50.7,23.0
XL,FC,VH,A,7.2,37.3,33.9,50.1,7.3,12.8,23.0
M,CO,HI,A,51.4,25.8,66.6,55.1,31.9,17.2,22.9
L,FC,MD,A,33.1,52.2,39.4,65.4,37.2,39.1,22.9
XL,CO,VH,A,29.1,24.1,62.0,33.0,20.1,17.4,22.9
L,CO,VH,A,20.5,33.9,29.5,23.5,42.9,22.3,22.9
L,FC,HI,A,28.7,21.3,27.2,24.0,89.7,19.6,22.9
XL,FC,VH,A,30.8,55.0,92.5,58.5,62.9,56.7,22.8
L,FC,VH,A,55.3,36.1,27.5,47.3,38.9,51.3,22.8
S,FO,VH,A,22.7,15.2,23.7,49.6,41.1,37.6,22.8
M,CO,VH,A,17.3,24.2,87.8,71.9,69.3,23.4,22.7
L,FC,MD,B,32.4,58.0,65.4,34.2,68.3,17.5,22.7
L,FO,VH,A,26.0,30.9,35.0,54.0,5.7,51.7,22.7
L,CO,VH,A,23.4,8.3,44.3,42.0,5.2,34.0,22.7
M,SP,VH,B,16.5,19.7,31.8,16.8,89.9,42.4,22.7
XL,CO,VH,A,53.8,39.3,72.7,47.4,47.8,34.3,22.6
M,CO,VH,A,33.5,44.3,44.3,29.5,40.7,21.7,22.5
L,SP,VH,A,18.5,43.9,28.2,31.4,5.0,44.0,22.5
L,CO,VH,A,24.0,40.1,95.0,70.3,13.0,26.6,22.5
M,FO,HI,B,54.0,21.4,60.9,47.6,26.5,97.1,22.4
M,FC,MD,B,32.9,25.8,69.3,30.3,27.9,37.4,22.4
L,CO,HI,A,6.8,38.3,87.9,26.6,8.0,16.8,22.4
L,CO,HI,A,18.8,31.6,60.6,62.0,78.7,50.5,22.3
S,FC,LO,B,4.7,6.5,71.7,70.2,14.7,20.6,22.2
L,SP,LO,A,59.0,18.7,78.1,27.2,40.9,29.8,22.2
L,SP,VH,A,51.0,22.4,23.9,60.2,30.5,13.1,22.2
M,FC,VH,A,32.0,26.8,70.7,23.3,13.1,19.5,22.2
L,CO,HI,B,19.7,30.8,35.1,64.5,7.7,27.2,22.1
L,CO,HI,A,33.4,11.2,79.8,28.0,20.0,42.6,22.0
M,FC,HI,A,13.3,47.3,69.8,23.6,25.7,19.5,22.0
XL,FC,VH,A,16.8,32.0,25.0,45.2,68.6,15.4,22.0
XL,CO,VH,A,24.9,4.3,54.9,62.1,35.7,32.8,22.0
XL,FC,MD,A,12.7,25.2,61.8,75.9,99.6,18.3,22.0
L,CO,HI,B,10.0,53.8,54.2,43.8,96.5,45.1,22.0
XL,FC,HI,A,23.6,19.2,71.3,29.3,48.9,17.4,21.9
L,FC,VH,A,47.7,40.9,37.8,32.8,11.1,17.0,21.9
L,FC,HI,B,58.7,9.0,72.3,51.2,69.2,36.7,21.8
L,FC,HI,A,20.8,9.1,28.8,72.0,8.2,14.7,21.7
L,CO,VH,A,19.3,18.5,56.2,40.9,24.2,29.4,21.7
L,CO,VH,A,23.7,56.6,50.7,21.0,65.8,38.2,21.7
L,FO,HI,B,33.1,42.0,33.0,17.2,15.9,12.1,21.7
L,CO,VH,A,18.4,19.8,25.9,64.0,32.6,50.4,21.6
L,CO,VH,B,16.6,38.7,56.0,27.0,34.9,60.3,21.6
L,CO,VH,A,45.2,26.6,34.0,26.1,73.4,29.7,21.6
L,FC,VH,A,5.7,9.5,58.6,42.6,33.7,11.9,21.6
L,CO,VH,A,25.5,20.4,91.9,36.7,80.5,28.9,21.5
S,FO,MD,B,9.3,35.2,24.2,16.7,100.0,100.0,21.4
XL,FC,VH,A,24.7,23.8,77.1,33.5,52.6,20.2,21.4
L,FC,HI,A,52.3,42.4,76.6,64.1,15.1,40.1,21.3
M,FC,VH,A,44.5,12.0,63.5,18.8,16.3,40.8,21.3
L,CO,HI,A,18.0,22.8,26.5,17.2,55.8,30.6,21.3
L,FC,HI,A,31.4,31.5,65.8,59.6,54.2,57.8,21.3
M,FO,VH,A,38.4,27.1,39.0,30.0,29.2,20.4,21.3
XL,FC,VH,A,29.1,28.8,58.2,21.8,79.9,25.6,21.2
XL,FC,HI,A,22.7,40.4,32.0,17.4,55.3,17.0,21.2
XL,FC,HI,A,17.4,27.7,42.3,32.8,43.1,32.9,21.2
L,CO,HI,A,18.9,52.0,38.4,26.7,19.0,37.8,21.0
L,FC,HI,A,45.5,48.8,57.2,19.6,65.5,44.4,21.0
L,CO,HI,A,31.5,39.0,93.9,23.3,73.1,99.8,21.0
XL,CO,VH,A,27.6,15.0,74.0,62.0,68.4,56.2,21.0
L,CO,VH,A,20.5,20.9,77.4,31.4,23.4,72.6,20.9
S,FO,LO,B,5.6,34.6,70.4,36.3,37.7,67.1,20.9
M,FO,VH,A,24.2,47.6,23.8,50.6,45.2,51.8,20.9
XL,FC,VH,A,26.5,22.6,35.5,34.9,77.2,48.2,20.9
L,CO,VH,A,6.7,38.5,43.8,41.0,36.1,31.7,20.9
XL,FC,VH,A,20.4,40.7,19.9,35.1,7.0,19.1,20.9
M,CO,VH,A,21.5,34.1,44.0,23.8,61.1,14.8,20.8
L,FC,MD,A,5.3,35.0,67.4,49.7,99.4,48.1,20.8
S,CO,MD,B,10.4,30.4,61.1,19.1,19.1,15.3,20.7
L,FC,HI,B,46.0,35.8,59.7,18.5,27.9,16.3,20.7
L,CO,LO,B,36.7,38.1,59.1,40.7,21.9,28.1,20.7
L,CO,VH,A,22.9,48.7,27.2,22.5,12.1,32.0,20.7
